[-30 -41   3]
[-30 -41   4]
[-29 -41  -8]
[-29 -41  -7]
[-29 -41  -6]
[-29 -41  -5]
[-29 -41  -4]
[-29 -41  -3]
[-29 -41  -2]
[-29 -41  -1]
[-29 -41   1]
[-29 -41   2]
[-29 -41   3]
[-29 -41   4]
[-29 -41   5]
[-29 -41   6]
[-29 -41   7]
[-29 -41   8]
[ 29 -41  -8]
[ 29 -41  -7]
[ 29 -41  -6]
[ 29 -41  -5]
[ 29 -41  -4]
[ 29 -41  -3]
[ 29 -41  -2]
[ 29 -41  -1]
[ 29 -41   1]
[ 29 -41   2]
[ 29 -41   3]
[ 29 -41   4]
[ 29 -41   5]
[ 29 -41   6]
[ 29 -41   7]
[ 29 -41   8]
[ 30 -41  -4]
[ 30 -41  -3]
[ 30 -41  -2]
[ 30 -41  -1]
[ 30 -41   1]
[ 30 -41   2]
[ 30 -41   3]
[ 30 -41   4]
[-31 -40  -6]
[-31 -40  -5]
[-31 -40  -4]
[-31 -40  -3]
[-31 -40  -2]
[-31 -40  -1]
[-31 -40   1]
[-31 -40   2]
[-31 -40   3]
[-31 -40   4]
[-31 -40   5]
[-31 -40   6]
[ 31 -40  -6]
[ 31 -40  -5]
[ 31 -40  -4]
[ 31 -40  -3]
[ 31 -40  -2]
[ 31 -40  -1]
[ 31 -40   1]
[ 31 -40   2]
[ 31 -40   3]
[ 31 -40   4]
[ 31 -40   5]
[ 31 -40   6]
[-32 -39  -7]
[-32 -39  -6]
[-32 -39  -5]
[-32 -39  -4]
[-32 -39  -3]
[-32 -39  -2]
[-32 -39  -1]
[-32 -39   1]
[-32 -39   2]
[-32 -39   3]
[-32 -39   4]
[-32 -39   5]
[-32 -39   6]
[-32 -39   7]
[ 32 -39  -7]
[ 32 -39  -6]
[ 32 -39  -5]
[ 32 -39  -4]
[ 32 -39  -3]
[ 32 -39  -2]
[ 32 -39  -1]
[ 32 -39   1]
[ 32 -39   2]
[ 32 -39   3]
[ 32 -39   4]
[ 32 -39   5]
[ 32 -39   6]
[ 32 -39   7]
[-34 -38  -1]
[-34 -38   1]
[-33 -38  -8]
[-33 -38  -7]
[-33 -38  -6]
[-33 -38  -5]
[-33 -38  -4]
[-33 -38  -3]
[-33 -38  -2]
[-33 -38  -1]
[-33 -38   1]
[-33 -38   2]
[-33 -38   3]
[-33 -38   4]
[-33 -38   5]
[-33 -38   6]
[-33 -38   7]
[-33 -38   8]
[ 33 -38  -8]
[ 33 -38  -7]
[ 33 -38  -6]
[ 33 -38  -5]
[ 33 -38  -4]
[ 33 -38  -3]
[ 33 -38  -2]
[ 33 -38  -1]
[ 33 -38   1]
[ 33 -38   2]
[ 33 -38   3]
[ 33 -38   4]
[ 33 -38   5]
[ 33 -38   6]
[ 33 -38   7]
[ 33 -38   8]
[ 34 -38  -1]
[ 34 -38   1]
[-35 -37  -2]
[-35 -37  -1]
[-35 -37   1]
[-35 -37   2]
[-34 -37  -8]
[-34 -37  -7]
[-34 -37  -6]
[-34 -37  -5]
[-34 -37  -4]
[-34 -37  -3]
[-34 -37  -2]
[-34 -37  -1]
[-34 -37   1]
[-34 -37   2]
[-34 -37   3]
[-34 -37   4]
[-34 -37   5]
[-34 -37   6]
[-34 -37   7]
[-34 -37   8]
[ 34 -37  -8]
[ 34 -37  -7]
[ 34 -37  -6]
[ 34 -37  -5]
[ 34 -37  -4]
[ 34 -37  -3]
[ 34 -37  -2]
[ 34 -37  -1]
[ 34 -37   1]
[ 34 -37   2]
[ 34 -37   3]
[ 34 -37   4]
[ 34 -37   5]
[ 34 -37   6]
[ 34 -37   7]
[ 34 -37   8]
[ 35 -37  -2]
[ 35 -37  -1]
[ 35 -37   1]
[ 35 -37   2]
[-36 -36  -3]
[-36 -36  -2]
[-36 -36  -1]
[-36 -36   1]
[-36 -36   2]
[-36 -36   3]
[-35 -36  -8]
[-35 -36  -7]
[-35 -36  -6]
[-35 -36  -5]
[-35 -36  -4]
[-35 -36  -3]
[-35 -36  -2]
[-35 -36  -1]
[-35 -36   1]
[-35 -36   2]
[-35 -36   3]
[-35 -36   4]
[-35 -36   5]
[-35 -36   6]
[-35 -36   7]
[-35 -36   8]
[ 35 -36  -8]
[ 35 -36  -7]
[ 35 -36  -6]
[ 35 -36  -5]
[ 35 -36  -4]
[ 35 -36  -3]
[ 35 -36  -2]
[ 35 -36  -1]
[ 35 -36   1]
[ 35 -36   2]
[ 35 -36   3]
[ 35 -36   4]
[ 35 -36   5]
[ 35 -36   6]
[ 35 -36   7]
[ 35 -36   8]
[ 36 -36  -3]
[ 36 -36  -2]
[ 36 -36  -1]
[ 36 -36   1]
[ 36 -36   2]
[ 36 -36   3]
[-37 -35  -2]
[-37 -35  -1]
[-37 -35   1]
[-37 -35   2]
[-36 -35  -8]
[-36 -35  -7]
[-36 -35  -6]
[-36 -35  -5]
[-36 -35  -4]
[-36 -35  -3]
[-36 -35  -2]
[-36 -35  -1]
[-36 -35   1]
[-36 -35   2]
[-36 -35   3]
[-36 -35   4]
[-36 -35   5]
[-36 -35   6]
[-36 -35   7]
[-36 -35   8]
[ 36 -35  -8]
[ 36 -35  -7]
[ 36 -35  -6]
[ 36 -35  -5]
[ 36 -35  -4]
[ 36 -35  -3]
[ 36 -35  -2]
[ 36 -35  -1]
[ 36 -35   1]
[ 36 -35   2]
[ 36 -35   3]
[ 36 -35   4]
[ 36 -35   5]
[ 36 -35   6]
[ 36 -35   7]
[ 36 -35   8]
[ 37 -35  -2]
[ 37 -35  -1]
[ 37 -35   1]
[ 37 -35   2]
[-38 -34  -1]
[-38 -34   1]
[-37 -34  -8]
[-37 -34  -7]
[-37 -34  -6]
[-37 -34  -5]
[-37 -34  -4]
[-37 -34  -3]
[-37 -34  -2]
[-37 -34  -1]
[-37 -34   1]
[-37 -34   2]
[-37 -34   3]
[-37 -34   4]
[-37 -34   5]
[-37 -34   6]
[-37 -34   7]
[-37 -34   8]
[ 37 -34  -8]
[ 37 -34  -7]
[ 37 -34  -6]
[ 37 -34  -5]
[ 37 -34  -4]
[ 37 -34  -3]
[ 37 -34  -2]
[ 37 -34  -1]
[ 37 -34   1]
[ 37 -34   2]
[ 37 -34   3]
[ 37 -34   4]
[ 37 -34   5]
[ 37 -34   6]
[ 37 -34   7]
[ 37 -34   8]
[ 38 -34  -1]
[ 38 -34   1]
[-38 -33  -8]
[-38 -33  -7]
[-38 -33  -6]
[-38 -33  -5]
[-38 -33  -4]
[-38 -33  -3]
[-38 -33  -2]
[-38 -33  -1]
[-38 -33   1]
[-38 -33   2]
[-38 -33   3]
[-38 -33   4]
[-38 -33   5]
[-38 -33   6]
[-38 -33   7]
[-38 -33   8]
[ 38 -33  -8]
[ 38 -33  -7]
[ 38 -33  -6]
[ 38 -33  -5]
[ 38 -33  -4]
[ 38 -33  -3]
[ 38 -33  -2]
[ 38 -33  -1]
[ 38 -33   1]
[ 38 -33   2]
[ 38 -33   3]
[ 38 -33   4]
[ 38 -33   5]
[ 38 -33   6]
[ 38 -33   7]
[ 38 -33   8]
[-39 -32  -7]
[-39 -32  -6]
[-39 -32  -5]
[-39 -32  -4]
[-39 -32  -3]
[-39 -32  -2]
[-39 -32  -1]
[-39 -32   1]
[-39 -32   2]
[-39 -32   3]
[-39 -32   4]
[-39 -32   5]
[-39 -32   6]
[-39 -32   7]
[ 39 -32  -7]
[ 39 -32  -6]
[ 39 -32  -5]
[ 39 -32  -4]
[ 39 -32  -3]
[ 39 -32  -2]
[ 39 -32  -1]
[ 39 -32   1]
[ 39 -32   2]
[ 39 -32   3]
[ 39 -32   4]
[ 39 -32   5]
[ 39 -32   6]
[ 39 -32   7]
[-40 -31  -6]
[-40 -31  -5]
[-40 -31  -4]
[-40 -31  -3]
[-40 -31  -2]
[-40 -31  -1]
[-40 -31   1]
[-40 -31   2]
[-40 -31   3]
[-40 -31   4]
[-40 -31   5]
[-40 -31   6]
[ 40 -31  -6]
[ 40 -31  -5]
[ 40 -31  -4]
[ 40 -31  -3]
[ 40 -31  -2]
[ 40 -31  -1]
[ 40 -31   1]
[ 40 -31   2]
[ 40 -31   3]
[ 40 -31   4]
[ 40 -31   5]
[ 40 -31   6]
[-41 -30  -4]
[-41 -30  -3]
[-41 -30  -2]
[-41 -30  -1]
[-41 -30   1]
[-41 -30   2]
[-41 -30   3]
[-41 -30   4]
[ 40 -30 -10]
[ 40 -30  -9]
[ 40 -30  -8]
[ 40 -30  -7]
[ 40 -30  -6]
[ 40 -30  -5]
[ 40 -30  -4]
[ 40 -30  -3]
[ 40 -30  -2]
[ 40 -30  -1]
[ 40 -30   1]
[ 40 -30   2]
[ 40 -30   3]
[ 40 -30   4]
[ 40 -30   5]
[ 40 -30   6]
[ 40 -30   7]
[ 40 -30   8]
[ 40 -30   9]
[ 40 -30  10]
[ 41 -30  -4]
[ 41 -30  -3]
[ 41 -30  -2]
[ 41 -30  -1]
[ 41 -30   1]
[ 41 -30   2]
[ 41 -30   3]
[ 41 -30   4]
[-41 -29  -8]
[-41 -29  -7]
[-41 -29  -6]
[-41 -29  -5]
[-41 -29  -4]
[-41 -29  -3]
[-41 -29  -2]
[-41 -29  -1]
[-41 -29   1]
[-41 -29   2]
[-41 -29   3]
[-41 -29   4]
[-41 -29   5]
[-41 -29   6]
[-41 -29   7]
[-41 -29   8]
[ 41 -29  -8]
[ 41 -29  -7]
[ 41 -29  -6]
[ 41 -29  -5]
[ 41 -29  -4]
[ 41 -29  -3]
[ 41 -29  -2]
[ 41 -29  -1]
[ 41 -29   1]
[ 41 -29   2]
[ 41 -29   3]
[ 41 -29   4]
[ 41 -29   5]
[ 41 -29   6]
[ 41 -29   7]
[ 41 -29   8]
[-42 -28  -7]
[-42 -28  -6]
[-42 -28  -5]
[-42 -28  -4]
[-42 -28  -3]
[-42 -28  -2]
[-42 -28  -1]
[-42 -28   1]
[-42 -28   2]
[-42 -28   3]
[-42 -28   4]
[-42 -28   5]
[-42 -28   6]
[-42 -28   7]
[ 42 -28  -7]
[ 42 -28  -6]
[ 42 -28  -5]
[ 42 -28  -4]
[ 42 -28  -3]
[ 42 -28  -2]
[ 42 -28  -1]
[ 42 -28   1]
[ 42 -28   2]
[ 42 -28   3]
[ 42 -28   4]
[ 42 -28   5]
[ 42 -28   6]
[ 42 -28   7]
[-43 -27  -4]
[-43 -27  -3]
[-43 -27  -2]
[-43 -27  -1]
[-43 -27   1]
[-43 -27   2]
[-43 -27   3]
[-43 -27   4]
